First Byte, Second Byte, Brainwave Value, 25
4, 241, 1265 
4, 186, 1210 
248, 0, 63488 
5, 7, 1287 
4, 187, 1211 
4, 132, 1156 
4, 86, 1110 
4, 52, 1076 
248, 0, 63488 
249, 89, 63833 
5, 25, 1305 
4, 217, 1241 
250, 189, 64189 
2, 36, 548 
4, 215, 1239 
4, 154, 1178 
4, 105, 1129 
4, 67, 1091 
249, 55, 63799 
248, 0, 63488 
5, 19, 1299 
4, 200, 1224 
0, 37, 37 
249, 135, 63879 
4, 231, 1255 
4, 163, 1187 
4, 112, 1136 
4, 68, 1092 
1, 100, 356 
248, 0, 63488 
4, 249, 1273 
4, 168, 1192 
4, 38, 1062 
249, 21, 63765 
4, 170, 1194 
4, 101, 1125 
4, 52, 1076 
4, 9, 1033 
3, 220, 988 
248, 0, 63488 
255, 101, 65381 
4, 169, 1193 
4, 116, 1140 
248, 0, 63488 
2, 213, 725 
4, 153, 1177 
4, 96, 1120 
4, 49, 1073 
4, 13, 1037 
248, 0, 63488 
248, 0, 63488 
4, 237, 1261 
4, 170, 1194 
252, 235, 64747 
254, 204, 65228 
4, 178, 1202 
4, 116, 1140 
4, 68, 1092 
4, 27, 1051 
252, 99, 64611 
248, 0, 63488 
5, 20, 1300 
4, 195, 1219 
2, 184, 696 
248, 252, 63740 
4, 212, 1236 
4, 144, 1168 
4, 91, 1115 
4, 49, 1073 
2, 232, 744 
248, 0, 63488 
3, 12, 780 
4, 216, 1240 
4, 162, 1186 
248, 0, 63488 
4, 246, 1270 
4, 167, 1191 
4, 113, 1137 
4, 67, 1091 
4, 35, 1059 
248, 0, 63488 
250, 75, 64075 
4, 247, 1271 
4, 186, 1210 
250, 74, 64074 
4, 70, 1094 
4, 168, 1192 
4, 113, 1137 
4, 66, 1090 
4, 27, 1051 
248, 246, 63734 
248, 0, 63488 
4, 229, 1253 
4, 155, 1179 
255, 4, 65284 
248, 211, 63699 
4, 209, 1233 
4, 139, 1163 
